This ia a summary of arc information.
Created by Yang Fan (yfan_cge@hust.edu.cn)
Record time: 2024-11-20 21:06:54.510318 

Number of Arcs: 124 
-------------------Please see more details in below:---------------------- 

Arc NO: 0;  315576000 ====> 315597595 ; Length: 4320 
Arc NO: 1;  315597600 ====> 315619195 ; Length: 4320 
Arc NO: 2;  315619200 ====> 315640795 ; Length: 4320 
Arc NO: 3;  315640800 ====> 315662395 ; Length: 4320 
Arc NO: 4;  315662400 ====> 315683995 ; Length: 4320 
Arc NO: 5;  315684000 ====> 315705595 ; Length: 4320 
Arc NO: 6;  315705600 ====> 315727195 ; Length: 4320 
Arc NO: 7;  315727200 ====> 315748795 ; Length: 4320 
Arc NO: 8;  315748800 ====> 315770395 ; Length: 4320 
Arc NO: 9;  315770400 ====> 315791995 ; Length: 4320 
Arc NO: 10;  315792000 ====> 315813595 ; Length: 4320 
Arc NO: 11;  315813600 ====> 315835195 ; Length: 4320 
Arc NO: 12;  315835200 ====> 315856795 ; Length: 4320 
Arc NO: 13;  315856800 ====> 315878395 ; Length: 4320 
Arc NO: 14;  315878400 ====> 315899995 ; Length: 4320 
Arc NO: 15;  315900000 ====> 315921595 ; Length: 4320 
Arc NO: 16;  315921600 ====> 315943195 ; Length: 4320 
Arc NO: 17;  315943200 ====> 315964795 ; Length: 4320 
Arc NO: 18;  315964800 ====> 315986395 ; Length: 4320 
Arc NO: 19;  315986400 ====> 316007995 ; Length: 4320 
Arc NO: 20;  316008000 ====> 316029595 ; Length: 4320 
Arc NO: 21;  316029600 ====> 316051195 ; Length: 4320 
Arc NO: 22;  316051200 ====> 316072795 ; Length: 4320 
Arc NO: 23;  316072800 ====> 316094395 ; Length: 4320 
Arc NO: 24;  316094400 ====> 316115995 ; Length: 4320 
Arc NO: 25;  316116000 ====> 316137595 ; Length: 4320 
Arc NO: 26;  316137600 ====> 316159195 ; Length: 4320 
Arc NO: 27;  316159200 ====> 316180795 ; Length: 4320 
Arc NO: 28;  316180800 ====> 316202395 ; Length: 4320 
Arc NO: 29;  316202400 ====> 316223995 ; Length: 4320 
Arc NO: 30;  316224000 ====> 316245595 ; Length: 4320 
Arc NO: 31;  316245600 ====> 316267195 ; Length: 4320 
Arc NO: 32;  316267200 ====> 316288795 ; Length: 4320 
Arc NO: 33;  316288800 ====> 316310395 ; Length: 4320 
Arc NO: 34;  316310400 ====> 316331995 ; Length: 4320 
Arc NO: 35;  316332000 ====> 316353595 ; Length: 4320 
Arc NO: 36;  316353600 ====> 316375195 ; Length: 4320 
Arc NO: 37;  316375200 ====> 316396795 ; Length: 4320 
Arc NO: 38;  316396800 ====> 316418395 ; Length: 4320 
Arc NO: 39;  316418400 ====> 316439995 ; Length: 4320 
Arc NO: 40;  316440000 ====> 316461595 ; Length: 4320 
Arc NO: 41;  316461600 ====> 316483195 ; Length: 4320 
Arc NO: 42;  316483200 ====> 316504795 ; Length: 4320 
Arc NO: 43;  316504800 ====> 316526395 ; Length: 4320 
Arc NO: 44;  316526400 ====> 316547995 ; Length: 4320 
Arc NO: 45;  316548000 ====> 316569595 ; Length: 4320 
Arc NO: 46;  316569600 ====> 316591195 ; Length: 4320 
Arc NO: 47;  316591200 ====> 316612795 ; Length: 4320 
Arc NO: 48;  316612800 ====> 316634395 ; Length: 4320 
Arc NO: 49;  316634400 ====> 316655995 ; Length: 4320 
Arc NO: 50;  316656000 ====> 316677595 ; Length: 4320 
Arc NO: 51;  316677600 ====> 316699195 ; Length: 4320 
Arc NO: 52;  316699200 ====> 316720795 ; Length: 4320 
Arc NO: 53;  316720800 ====> 316742395 ; Length: 4320 
Arc NO: 54;  316742400 ====> 316763995 ; Length: 4320 
Arc NO: 55;  316764000 ====> 316785595 ; Length: 4320 
Arc NO: 56;  316785600 ====> 316807195 ; Length: 4320 
Arc NO: 57;  316816075 ====> 316837670 ; Length: 4320 
Arc NO: 58;  316837675 ====> 316859270 ; Length: 4320 
Arc NO: 59;  316859275 ====> 316880870 ; Length: 4320 
Arc NO: 60;  316880875 ====> 316902470 ; Length: 4320 
Arc NO: 61;  316902475 ====> 316924070 ; Length: 4320 
Arc NO: 62;  316924075 ====> 316945670 ; Length: 4320 
Arc NO: 63;  316945675 ====> 316967270 ; Length: 4320 
Arc NO: 64;  316967275 ====> 316988870 ; Length: 4320 
Arc NO: 65;  316988875 ====> 317010470 ; Length: 4320 
Arc NO: 66;  317010475 ====> 317032070 ; Length: 4320 
Arc NO: 67;  317032075 ====> 317053670 ; Length: 4320 
Arc NO: 68;  317053675 ====> 317075270 ; Length: 4320 
Arc NO: 69;  317075275 ====> 317096870 ; Length: 4320 
Arc NO: 70;  317096875 ====> 317118470 ; Length: 4320 
Arc NO: 71;  317118475 ====> 317140070 ; Length: 4320 
Arc NO: 72;  317140075 ====> 317161670 ; Length: 4320 
Arc NO: 73;  317161675 ====> 317183270 ; Length: 4320 
Arc NO: 74;  317183275 ====> 317204870 ; Length: 4320 
Arc NO: 75;  317204875 ====> 317226470 ; Length: 4320 
Arc NO: 76;  317226475 ====> 317248070 ; Length: 4320 
Arc NO: 77;  317248075 ====> 317268565 ; Length: 4099 
Arc NO: 78;  317268885 ====> 317290480 ; Length: 4320 
Arc NO: 79;  317290485 ====> 317312080 ; Length: 4320 
Arc NO: 80;  317312085 ====> 317333680 ; Length: 4320 
Arc NO: 81;  317333685 ====> 317355280 ; Length: 4320 
Arc NO: 82;  317355285 ====> 317376880 ; Length: 4320 
Arc NO: 83;  317376885 ====> 317398480 ; Length: 4320 
