This ia a summary of arc True or False information.
Created by Yi Wu (wu_yi@hust.edu.cn)
Record time: 2024-11-20 21:06:54.517305 

Number of Arcs: 124 
-------------------Please see more details in below:---------------------- 

Arc NO: 0 True ----- ;
Arc NO: 1 True ----- ;
Arc NO: 2 True ----- ;
Arc NO: 3 True ----- ;
Arc NO: 4 True ----- ;
Arc NO: 5 True ----- ;
Arc NO: 6 True ----- ;
Arc NO: 7 True ----- ;
Arc NO: 8 True ----- ;
Arc NO: 9 True ----- ;
Arc NO: 10 True ----- ;
Arc NO: 11 True ----- ;
Arc NO: 12 True ----- ;
Arc NO: 13 True ----- ;
Arc NO: 14 True ----- ;
Arc NO: 15 True ----- ;
Arc NO: 16 True ----- ;
Arc NO: 17 True ----- ;
Arc NO: 18 True ----- ;
Arc NO: 19 True ----- ;
Arc NO: 20 True ----- ;
Arc NO: 21 True ----- ;
Arc NO: 22 True ----- ;
Arc NO: 23 True ----- ;
Arc NO: 24 True ----- ;
Arc NO: 25 True ----- ;
Arc NO: 26 True ----- ;
Arc NO: 27 True ----- ;
Arc NO: 28 True ----- ;
Arc NO: 29 True ----- ;
Arc NO: 30 True ----- ;
Arc NO: 31 True ----- ;
Arc NO: 32 True ----- ;
Arc NO: 33 True ----- ;
Arc NO: 34 True ----- ;
Arc NO: 35 True ----- ;
Arc NO: 36 True ----- ;
Arc NO: 37 True ----- ;
Arc NO: 38 True ----- ;
Arc NO: 39 True ----- ;
Arc NO: 40 True ----- ;
Arc NO: 41 True ----- ;
Arc NO: 42 True ----- ;
Arc NO: 43 True ----- ;
Arc NO: 44 True ----- ;
Arc NO: 45 True ----- ;
Arc NO: 46 True ----- ;
Arc NO: 47 True ----- ;
Arc NO: 48 True ----- ;
Arc NO: 49 True ----- ;
Arc NO: 50 True ----- ;
Arc NO: 51 True ----- ;
Arc NO: 52 True ----- ;
Arc NO: 53 True ----- ;
Arc NO: 54 True ----- ;
Arc NO: 55 True ----- ;
Arc NO: 56 True ----- ;
Arc NO: 57 True ----- ;
Arc NO: 58 True ----- ;
Arc NO: 59 True ----- ;
Arc NO: 60 True ----- ;
Arc NO: 61 True ----- ;
Arc NO: 62 True ----- ;
Arc NO: 63 True ----- ;
Arc NO: 64 True ----- ;
Arc NO: 65 True ----- ;
Arc NO: 66 True ----- ;
Arc NO: 67 True ----- ;
Arc NO: 68 True ----- ;
Arc NO: 69 True ----- ;
Arc NO: 70 True ----- ;
Arc NO: 71 True ----- ;
Arc NO: 72 True ----- ;
Arc NO: 73 True ----- ;
Arc NO: 74 True ----- ;
Arc NO: 75 True ----- ;
Arc NO: 76 True ----- ;
Arc NO: 77 True ----- ;
Arc NO: 78 True ----- ;
Arc NO: 79 True ----- ;
Arc NO: 80 True ----- ;
Arc NO: 81 True ----- ;
Arc NO: 82 True ----- ;
Arc NO: 83 True ----- ;
Arc NO: 84 True ----- ;
Arc NO: 85 True ----- ;
Arc NO: 86 True ----- ;
Arc NO: 87 True ----- ;
Arc NO: 88 True ----- ;
Arc NO: 89 True ----- ;
Arc NO: 90 True ----- ;
Arc NO: 91 True ----- ;
Arc NO: 92 True ----- ;
Arc NO: 93 True ----- ;
Arc NO: 94 True ----- ;
Arc NO: 95 True ----- ;
Arc NO: 96 True ----- ;
Arc NO: 97 True ----- ;
Arc NO: 98 True ----- ;
Arc NO: 99 True ----- ;
Arc NO: 100 True ----- ;
Arc NO: 101 True ----- ;
Arc NO: 102 True ----- ;
Arc NO: 103 True ----- ;
Arc NO: 104 True ----- ;
Arc NO: 105 True ----- ;
Arc NO: 106 True ----- ;
Arc NO: 107 True ----- ;
Arc NO: 108 True ----- ;
Arc NO: 109 True ----- ;
Arc NO: 110 True ----- ;
Arc NO: 111 True ----- ;
Arc NO: 112 True ----- ;
Arc NO: 113 True ----- ;
Arc NO: 114 True ----- ;
Arc NO: 115 True ----- ;
Arc NO: 116 True ----- ;
Arc NO: 117 True ----- ;
Arc NO: 118 True ----- ;
Arc NO: 119 True ----- ;
Arc NO: 120 True ----- ;
Arc NO: 121 True ----- ;
Arc NO: 122 True ----- ;
Arc NO: 123 True ----- ;
